iter	Passed	Remaining
0	0	83
1	1	73
2	2	71
3	3	87
4	4	89
5	5	89
6	6	91
7	8	92
8	8	90
9	9	88
10	10	87
11	12	90
12	13	92
13	15	92
14	16	90
15	16	89
16	17	86
17	18	84
18	19	82
19	20	80
20	20	78
21	21	76
22	22	75
23	23	73
24	24	72
25	24	70
26	25	69
27	27	69
28	28	69
29	29	68
30	30	67
31	31	66
32	31	64
33	32	63
34	33	61
35	33	60
36	34	58
37	35	57
38	35	55
39	36	54
40	36	53
41	37	51
42	37	50
43	38	48
44	39	47
45	39	46
46	40	45
47	41	44
48	42	44
49	43	43
50	44	42
51	45	41
52	46	40
53	46	39
54	46	38
55	47	37
56	48	36
57	48	35
58	48	34
59	49	33
60	50	32
61	50	31
62	51	30
63	51	29
64	52	28
65	53	27
66	53	26
67	54	25
68	55	24
69	55	23
70	56	23
71	56	22
72	57	21
73	58	20
74	58	19
75	59	18
76	59	17
77	60	17
78	61	16
79	62	15
80	62	14
81	63	13
82	63	13
83	64	12
84	64	11
85	65	10
86	65	9
87	66	9
88	66	8
89	67	7
90	67	6
91	68	5
92	68	5
93	69	4
94	70	3
95	71	2
96	72	2
97	73	1
98	73	0
99	74	0
